 Freq Word
   15 blind
   15 doom
   15 joy
   15 marks
   15 ii
   15 shock
   15 coward
   15 torn
   15 lifted
   15 wound
   15 latitudes
   15 lungs
   15 mention
   15 faith
   15 space
   15 working
   15 contact
   15 palms
   15 yield
   15 eh
   15 dinner
   15 fit
   15 using
   15 marvellous
   15 elephant
   15 seek
   15 send
   15 ages
   15 tackles
   15 shadow
   15 keeping
   15 disappeared
   15 dry
   15 return
   15 fore
   15 doing
   15 muttered
   15 position
   15 afraid
   15 supposed
   15 pulpit
   15 merchant
   15 silently
   15 plenty
   15 save
   15 binnacle
   15 pains
   15 heaving
   15 fast-fish
   15 roman
   15 endless
   15 glass
   15 marble
   15 perilous
   15 sank
   15 wrinkled
   15 pumps
   15 noon
   15 pitch
   15 donations
   15 breaking
   15 latter
   15 heave
   15 prophet
   15 apart
   15 spine
   15 twelve
   15 ourselves
   15 knowing
   15 compass
   15 ends
   15 grey
   15 helped
   15 moving
   15 violent
   15 nearer
   15 missing
   15 shouted
   15 pushed
   15 tried
   15 fill
   15 frequently
   15 drag
   15 loose-fish
   15 bag
   15 troubled
   15 cunning
   15 employed
   15 public
   15 secured
   14 meant
   14 moved
   14 forming
   14 rolls
   14 knife
   14 foe
   14 city
   14 written
   14 returned
   14 opinion
   14 continued
   14 reference
   14 receiving
   14 opening
   14 gay
   14 mariner
   14 arrived
   14 dough-boy
   14 notice
   14 fly
   14 minds
   14 nights
   14 laws
   14 towing
   14 asked
   14 grew
   14 closely
   14 customary
   14 wrinkles
   14 spoke
   14 pointing
   14 reach
   14 occasionally
   14 tormented
   14 faces
   14 considered
   14 hail
   14 crown
   14 summer
   14 officer
   14 points
   14 canvas
   14 dare
   14 hue
   14 entered
   14 phantom
   14 superior
   14 tun
   14 firm
   14 perceived
   14 elephants
   14 split
   14 london
   14 child
   14 lively
   14 window
   14 gliding
   14 blast
   14 monsters
   14 inch
   14 horrible
   14 gained
   14 perth
   14 corner
   14 leaping
   14 unseen
   14 terrific
   14 need
   14 indirectly
   14 rushing
   14 rock
   14 darting
   14 ring
   14 simultaneously
   14 fool
   14 intent
   14 colour
   14 partly
   14 sixty
   14 chased
   14 probably
   14 locked
   14 glided
   14 yojo
   14 measure
   14 carrying
   14 effect
   14 matters
   14 streets
   14 crossed
   14 equal
   14 mounted
   14 capture
   14 seizing
   14 worth
   14 continual
   14 throw
   14 food
   14 shadows
   14 events
   14 departed
   14 immortal
   14 proceed
   14 direction
   14 leak
   14 planted
   14 quarter
   14 bucket
   14 row
   14 deemed
   14 hark
   13 lived
   13 sprang
   13 cool
   13 sense
   13 bunger
   13 lighted
   13 resolved
   13 glancing
   13 visit
   13 birds
   13 church
   13 lead
   13 remarkable
   13 conceit
   13 yea
   13 ladies
   13 letter
   13 tore
   13 pots
   13 roared
   13 bread
   13 bench
   13 gain
   13 quantity
   13 sooner
   13 jonahs
   13 money
   13 german
   13 forms
   13 possession
   13 swear
   13 lads
   13 savages
   13 belonged
   13 pulled
   13 chap
   13 neither
   13 broke
   13 prove
   13 piled
   13 hearing
   13 calmly
   13 elsewhere
   13 leaned
   13 shook
   13 big
   13 nations
   13 ambergris
   13 theirs
   13 latitude
   13 sinking
   13 lesson
   13 leap
   13 doubtless
   13 bears
   13 corpse
   13 token
   13 buried
   13 extreme
   13 mountains
   13 idol
   13 polar
   13 strangers
   13 herd
   13 carved
   13 volume
   13 queen
   13 dangerous
   13 season
   13 fathoms
   13 cries
   13 chanced
   13 utterly
   13 reaching
   13 subsequent
   13 straightway
   13 mrs
   13 paid
   13 circles
   13 shoulders
   13 fingers
   13 wherefore
   13 copyright
   13 literary
   13 tiller
   13 secure
   13 ponderous
   13 readily
   13 flank
   13 hit
   13 private
   13 slightly
   13 hither
   13 archive
   13 honest
   13 stout
   13 sweep
   13 declared
   13 eager
   13 setting
   13 erect
   13 spoken
   13 elijah
   13 stars
   13 practical
   13 greater
   13 swallowed
   13 canal
   13 dying
   12 excellent
   12 smells
   12 wreck
   12 central
   12 oriental
   12 tossing
   12 names
   12 dumb
   12 noise
   12 comrades
   12 interior
   12 tub
   12 ad
   12 prepared
   12 motions
   12 exceeding
   12 resting
   12 painted
   12 draw
   12 peril
   12 enchanted
   12 hill
   12 twice
   12 shipmate
   12 seven
   12 afloat
   12 moody
   12 fearful
   12 octavo
   12 america
   12 speed
   12 named
   12 touched
   12 howling
   12 southern
   12 size
   12 bowels
   12 trowsers
   12 dread
   12 mother
   12 barbs
   12 external
   12 becomes
   12 leaped
   12 prey
   12 iii
   12 conscience
   12 heaved
   12 conduct
   12 beings
   12 breakfast
   12 tapering
   12 insult
   12 settled
   12 slain
   12 naught
   12 landed
   12 offered
   12 harbor
   12 beware
   12 sights
   12 ginger
   12 den
   12 usage
   12 bent
   12 solemn
   12 begin
   12 look-outs
   12 social
   12 wonders
   12 fitted
   12 north
   12 sweeping
   12 catch
   12 tower
   12 pair
   12 connected
   12 lengthwise
   12 removed
   12 symbol
   12 didst
   12 falling
   12 swinging
   12 countenance
   12 naturally
   12 manned
   12 scarce
   12 bird
   12 steering
   12 naked
   12 contrary
   12 id
   12 leading
   12 thank
   12 rapid
   12 mankind
   12 direct
   12 sadly
   12 tied
   12 toil
   12 malice
   12 cursed
   12 spars
   12 calls
   12 force
   12 caused
   12 nantucketers
   12 descend
   12 lean
   12 ghost
   12 bursting
   12 deal
   12 sounds
   12 lonely
   12 handle
   12 spouting
   12 happens
   12 unusual
   12 oarsman
   12 fat
   12 rib
   12 ropes
   12 mixed
   12 contrast
   12 loaded
   12 loud
   12 firmly
   12 system
   12 greatest
   12 fleece
   12 lantern
   12 hoisting
   12 supplied
   12 spanish
   12 boots
   12 quiet
   12 hook
   12 isle
   12 fourth
   12 dam
   12 strain
   12 centuries
   12 vengeance
   12 vapour
   12 shipped
   12 included
   11 sounding
   11 downwards
   11 sunrise
   11 features
   11 pick
   11 escaped
   11 calling
   11 ashes
   11 cover
   11 eating
   11 wicked
   11 indifferent
   11 mist
   11 fifteen
   11 temporary
   11 hoops
   11 infallibly
   11 horses
   11 carpenters
   11 throwing
   11 job
   11 mysterious
   11 pirates
   11 monstrous
   11 involuntarily
   11 reasons
   11 grave
   11 wet
   11 whalebone
   11 derived
   11 begins
   11 foul
   11 blackness
   11 remote
   11 receive
   11 wore
   11 clouds
   11 valuable
   11 um
   11 singing
   11 guernsey-man
   11 picked
   11 commander
   11 prairie
   11 smell
   11 hunter
   11 piece
   11 commotion
   11 perpendicular
   11 experienced
   11 desperate
   11 chains
   11 luck
   11 subtle
   11 welded
   11 wharf
   11 seeking
   11 element
   11 tongue
   11 noticed
   11 awe
   11 mainmast
   11 wine
   11 jumped
   11 remaining
   11 whispered
   11 concluding
   11 swells
   11 fashion
   11 drowned
   11 desired
   11 kick
   11 demanded
   11 spell
   11 monomaniac
   11 waist
   11 dived
   11 starting
   11 snow
   11 image
   11 mat
   11 grim
   11 objects
   11 judgment
   11 agree
   11 samuel
   11 evil
   11 blessed
   11 early
   11 unearthly
   11 owner
   11 temple
   11 pieces
   11 ignorance
   11 perseus
   11 throughout
   11 herds
   11 haul
   11 street
   11 strongly
   11 inn
   11 field
   11 significant
   11 indispensable
   11 floats
   11 stripped
   11 repose
   11 northern
   11 virgin
   11 shut
   11 cross
   11 knowledge
   11 convenient
   11 crazy
   11 belong
   11 burn
   11 cannibals
   11 stream
   11 eat
   11 murmured
   11 peculiarities
   11 vocation
   11 bible
   11 ear
   11 warp
   11 barbaric
   11 fastened
   11 family
   11 enter
   11 memory
   11 service
   11 stay
   11 meeting
   11 baleen
   11 oclock
   11 john
   11 sleet
   11 lovely
   11 forge
   11 letters
   11 wave
   11 peace
   11 observe
   11 care
   11 narrow
   11 obvious
   11 prolonged
   11 spiritual
   11 smaller
   11 mountain
   11 snow-white
   11 paragraph
   11 burning
   11 carefully
   11 double
   11 forget
   11 gloom
   11 capstan
   11 horse
   11 upright
   11 fins
   11 appearance
   11 advanced
   11 ladder
   11 fetch
   11 elevated
   11 steadily
   11 beholding
   11 invariably
   11 glad
   10 refund
   10 japan
   10 block
   10 softly
   10 outside
   10 chapel
   10 host
   10 occurred
   10 whale-ships
   10 occasion
   10 aught
   10 skill
   10 earnest
   10 blinds
   10 meat
   10 crotch
   10 descending
   10 dish
   10 heading
   10 simple
   10 mostly
   10 threw
   10 experience
   10 stone
   10 replied
   10 odd
   10 ask
   10 valiant
   10 curiosity
   10 helmsman
   10 gaining
   10 trademark
   10 venerable
   10 approaching
   10 destroyed
   10 party
   10 summit
   10 information
   10 woods
   10 quaker
   10 coils
   10 superstitious
   10 gradually
   10 event
   10 domestic
   10 news
   10 rods
   10 inferior
   10 backs
   10 tambourine
   10 thrusting
   10 divided
   10 quest
   10 grinning
   10 served
   10 equator
   10 driven
   10 pity
   10 shortly
   10 perch
   10 ignorant
   10 flood
   10 stranded
   10 attend
   10 discovered
   10 term
   10 derick
   10 faint
   10 plan
   10 hemp
   10 dust
   10 alas
   10 surprise
   10 pious
   10 relieved
   10 direful
   10 glimpse
   10 impressions
   10 nearest
   10 entitled
   10 pitched
   10 alike
   10 berth
   10 stump
   10 fierce
   10 pausing
   10 headsman
   10 until
   10 appalling
   10 sliding
   10 century
   10 methinks
   10 landsmen
   10 dream
   10 thither
   10 lift
   10 spirits
   10 pocket
   10 concern
   10 sacred
   10 projecting
   10 pursued
   10 swell
   10 mood
   10 afternoon
   10 armed
   10 brief
   10 grounds
   10 stairs
   10 scenes
   10 murderous
   10 strip
   10 striving
   10 shroud
   10 dense
   10 angels
   10 lashed
   10 appeared
   10 clothes
   10 hideous
   10 lights
   10 beating
   10 gazed
   10 imperial
   10 bringing
   10 retained
   10 main-mast
   10 midst
   10 finger
   10 boldly
   10 serious
   10 easily
   10 wanting
   10 poles
   10 detached
   10 damn
   10 steak
   10 square
   10 changed
   10 japanese
   10 vague
   10 narrative
   10 cetology
   10 depths
   10 narwhale
   10 whalemans
   10 hints
   10 walls
   10 scattered
   10 access
   10 accursed
   10 exclaimed
   10 fathers
   10 brother
   10 nailed
   10 lima
   10 ramadan
   10 manxman
   10 canoe
   10 gently
   10 active
   10 remotest
   10 articles
   10 stretched
   10 led
   10 coiled
   10 hovering
   10 endure
   10 mount
   10 king-post
   10 mothers
   10 stricken
   10 provided
   10 uplifted
   10 papers
   10 vital
   10 velocity
   10 mortals
   10 skies
   10 mildly
   10 closed
   10 tow
   10 silver
   10 smallest
   10 murder
    9 dawn
    9 withstand
    9 regard
    9 clam
    9 trouble
    9 occupied
    9 daylight
    9 furnish
    9 albatross
    9 wrapped
    9 tribe
    9 rail
    9 recognised
    9 wing
    9 specific
    9 confidential
    9 town-ho
    9 salt
    9 naturalists
    9 shoulder
    9 indians
    9 stuck
    9 spent
    9 associated
    9 vivid
    9 war
    9 attack
    9 attention
    9 vigorous
    9 needle
    9 rack
    9 links
    9 score
    9 leagues
    9 life-buoy
    9 clinging
    9 raise
    9 brit
    9 activity
    9 wildly
    9 box
    9 china
    9 bowed
    9 meets
    9 sensible
    9 society
    9 depth
    9 pine
    9 seemingly
    9 wounded
    9 inclined
    9 tremendous
    9 whereby
    9 courage
    9 mercy
    9 reel
    9 author
    9 occasional
    9 wants
    9 compasses
    9 consternation
    9 worship
    9 spout-hole
    9 lip
    9 task
    9 spend
    9 school
    9 sole
    9 rises
    9 to-morrow
    9 despair
    9 borne
    9 sending
    9 mouths
    9 judge
    9 halloa
    9 yesterday
    9 paced
    9 forgotten
    9 influence
    9 sparkling
    9 contrasting
    9 roaring
    9 reasonable
    9 watches
    9 hereby
    9 listen
    9 lake
    9 foremost
    9 violently
    9 produced
    9 growing
    9 mistake
    9 anybody
    9 smooth
    9 squeeze
    9 reading
    9 sufficiently
    9 beget
    9 downward
    9 yours
    9 lid
    9 mapple
    9 limbs
    9 pipes
    9 shaking
    9 bellies
    9 intended
    9 agent
    9 scarcely
    9 accounted
    9 miserable
    9 fury
    9 particulars
    9 priest
